SECID;INDID;Share;Industry
INF;51121;INF51121;Software Publishers
INF;51211;INF51211;Motion Picture and Video Production
INF;51212;INF51212;Motion Picture and Video Distribution
INF;51213;INF51213;Motion Picture and Video Exhibition
INF;51219;INF51219;Postproduction Services and Other Motion Picture and Video Industries
INF;51223;INF51223;Music Publishers
INF;51224;INF51224;Sound Recording Studios
INF;51225;INF51225;Record Production and Distribution
INF;51229;INF51229;Other Sound Recording Industries
INF;51511;INF51511;Radio Broadcasting
INF;51512;INF51512;Television Broadcasting
INF;51521;INF51521;Cable and Other Subscription Programming
INF;51731;INF51731;Wired and Wireless Telecommunications Carriers
INF;51741;INF51741;Satellite Telecommunications
INF;51791;INF51791;Other Telecommunications
INF;51821;INF51821;Data Processing- Hosting- and Related Services
INF;51911;INF51911;News Syndicates
INF;51912;INF51912;Libraries and Archives
INF;51913;INF51913;InternePublishing and Broadcasting and Web Search Portals
INF;51919;INF51919;All Other Information Services
INF;511110;INF511110;Newspaper Publishers 
INF;511120;INF511120;Periodical Publishers 
INF;511130;INF511130;Book Publishers 
INF;511140;INF511140;Directory and Mailing List Publishers 
INF;511191;INF511191;Greeting Card Publishers 
INF;511199;INF511199;All Other Publishers 
INF;511210;INF511210;Software Publishers
INF;512110;INF512110;Motion Picture and Video Production 
INF;512120;INF512120;Motion Picture and Video Distribution
INF;512131;INF512131;Motion Picture Theaters (except Drive-Ins) 
INF;512132;INF512132;Drive-In Motion Picture Theaters 
INF;512191;INF512191;Teleproduction and Other Postproduction Services 
INF;512199;INF512199;Other Motion Picture and Video Industries 
INF;512230;INF512230;Music Publishers
INF;512240;INF512240;Sound Recording Studios
INF;512250;INF512250;Record Production and Distribution
INF;512290;INF512290;Other Sound Recording Industries
INF;515111;INF515111;Radio Networks 
INF;515112;INF515112;Radio Stations 
INF;515120;INF515120;Television Broadcasting
INF;515210;INF515210;Cable and Other Subscription Programming
INF;517311;INF517311;Wired Telecommunications Carriers 
INF;517312;INF517312;Wireless Telecommunications Carriers (except Satellite)
INF;517410;INF517410;Satellite Telecommunications
INF;517911;INF517911;Telecommunications Resellers 
INF;517919;INF517919;All Other Telecommunications 
INF;518210;INF518210;Data Processing- Hosting- and Related Services
INF;519110;INF519110;News Syndicates
INF;519120;INF519120;Libraries and Archives 
INF;519130;INF519130;Internet Publishing and Broadcasting and Web Search Portals
INF;519190;INF519190;All Other Information Services
FI;521;FI521;Monetary Authorities-Central Bank
FI;522;FI522;CrediIntermediation and Related Activities
FI;523;FI523;Securities- Commodity Contracts- and Other Financial Investments and Related Activities
FI;524;FI524;Insurance Carriers and Related Activities
FI;525;FI525;Funds- Trusts- and Other Financial Vehicles 
FI;5211;FI5211;Monetary Authorities-Central Bank
FI;5221;FI5221;Depository Credit Intermediation 
FI;5222;FI5222;Nondepository Credit Intermediation 
FI;5223;FI5223;Activities Related to Credit Intermediation 
FI;5231;FI5231;Securities and Commodity Contracts Intermediation and Brokerage
FI;5232;FI5232;Securities and Commodity Exchanges
FI;5239;FI5239;Other Financial InvestmenActivities
FI;5241;FI5241;Insurance Carriers
FI;5242;FI5242;Agencies- Brokerages- and Other Insurance Related Activities
FI;5251;FI5251;Insurance and Employee Benefit Funds 
FI;5259;FI5259;Other Investment Pools and Funds
FI;52111;FI52111;Monetary Authorities-Central Bank
FI;52211;FI52211;Commercial Banking 
FI;52212;FI52212;Savings Institutions 
FI;52213;FI52213;Credit Unions 
FI;52219;FI52219;Other Depository Credit Intermediation 
FI;52221;FI52221;Credit Card Issuing 
FI;52222;FI52222;Sales Financing 
FI;52229;FI52229;Other Nondepository Credit Intermediation 
FI;52231;FI52231;Mortgage and Nonmortgage Loan Brokers 
FI;52232;FI52232;Financial Transactions Processing- Reserve- and Clearinghouse Activities 
FI;52239;FI52239;Other Activities Related to Credit Intermediation 
FI;52311;FI52311;Investment Banking and Securities Dealing 
FI;52312;FI52312;Securities Brokerage 
FI;52313;FI52313;Commodity Contracts Dealing 
FI;52314;FI52314;Commodity Contracts Brokerage 
FI;52321;FI52321;Securities and Commodity Exchanges
FI;52391;FI52391;Miscellaneous Intermediation 
FI;52392;FI52392;Portfolio Management 
FI;52393;FI52393;Investment Advice 
FI;52399;FI52399;All Other Financial Investment Activities 
FI;52411;FI52411;Direct Life- Health- and Medical Insurance Carriers 
FI;52412;FI52412;Direct Insurance (except Life- Health- and Medical) Carriers 
FI;52413;FI52413;Reinsurance Carriers 
FI;52421;FI52421;Insurance Agencies and Brokerages 
FI;52429;FI52429;Other Insurance Related Activities 
FI;52511;FI52511;Pension Funds 
FI;52512;FI52512;Health and Welfare Funds 
FI;52519;FI52519;Other Insurance Funds 
FI;52591;FI52591;Open-End Investment Funds 
FI;52592;FI52592;Trusts- Estates- and Agency Accounts 
FI;52599;FI52599;Other Financial Vehicles 
FI;521110;FI521110;Monetary Authorities-Central Bank
FI;522110;FI522110;Commercial Banking 
FI;522120;FI522120;Savings Institutions 
FI;522130;FI522130;Credit Unions 
FI;522190;FI522190;Other Depository Credit Intermediation 
FI;522210;FI522210;Credit Card Issuing 
FI;522220;FI522220;Sales Financing 
FI;522291;FI522291;Consumer Lending 
FI;522292;FI522292;Real Estate Credit 
FI;522293;FI522293;International Trade Financing 
FI;522294;FI522294;Secondary Market Financing 
FI;522298;FI522298;All Other Nondepository Credit Intermediation 
FI;522310;FI522310;Mortgage and Nonmortgage Loan Brokers 
FI;522320;FI522320;Financial Transactions Processing- Reserve- and Clearinghouse Activities 
FI;522390;FI522390;Other Activities Related to Credit Intermediation 
FI;523110;FI523110;Investment Banking and Securities Dealing 
FI;523120;FI523120;Securities Brokerage 
FI;523130;FI523130;Commodity Contracts Dealing 
FI;523140;FI523140;Commodity Contracts Brokerage 
FI;523210;FI523210;Securities and Commodity Exchanges
FI;523910;FI523910;Miscellaneous Intermediation 
FI;523920;FI523920;Portfolio Management 
FI;523930;FI523930;Investment Advice 
FI;523991;FI523991;Trust- Fiduciary- and Custody Activities 
FI;523999;FI523999;Miscellaneous Financial Investment Activities 
FI;524113;FI524113;Direct Life Insurance Carriers 
FI;524114;FI524114;Direct Health and Medical Insurance Carriers 
FI;524126;FI524126;Direct Property and Casualty Insurance Carriers 
FI;524127;FI524127;Direct Title Insurance Carriers 
FI;524128;FI524128;Other Direct Insurance (except Life- Health- and Medical) Carriers 
FI;524130;FI524130;Reinsurance Carriers 
FI;524210;FI524210;Insurance Agencies and Brokerages 
FI;524291;FI524291;Claims Adjusting 
FI;524292;FI524292;Third Party Administration of Insurance and Pension Funds 
FI;524298;FI524298;All Other Insurance Related Activities 
FI;525110;FI525110;Pension Funds 
FI;525120;FI525120;Health and Welfare Funds 
FI;525190;FI525190;Other Insurance Funds 
FI;525910;FI525910;Open-End Investment Funds 
FI;525920;FI525920;Trusts- Estates- and Agency Accounts 
FI;525990;FI525990;Other Financial Vehicles 
RE;531;RE531;Real Estate
RE;532;RE532;Rental and Leasing Services
RE;533;RE533;Lessors of Nonfinancial Intangible Assets (excepCopyrighted Works)
RE;5311;RE5311;Lessors of Real Estate
RE;5312;RE5312;Offices of Real Estate Agents and Brokers
RE;5313;RE5313;Activities Related to Real Estate
RE;5321;RE5321;Automotive EquipmenRental and Leasing
RE;5322;RE5322;Consumer Goods Rental
RE;5323;RE5323;General Rental Centers
RE;5324;RE5324;Commercial and Industrial Machinery and EquipmenRental and Leasing
RE;5331;RE5331;Lessors of Nonfinancial Intangible Assets (excepCopyrighted Works)
RE;53111;RE53111;Lessors of Residential Buildings and Dwellings 
RE;53112;RE53112;Lessors of Nonresidential Buildings (except Miniwarehouses) 
RE;53113;RE53113;Lessors of Miniwarehouses and Self-Storage Units 
RE;53119;RE53119;Lessors of Other Real Estate Property 
RE;53121;RE53121;Offices of Real Estate Agents and Brokers
RE;53131;RE53131;Real Estate Property Managers 
RE;53132;RE53132;Offices of Real Estate Appraisers 
RE;53139;RE53139;Other Activities Related to Real Estate 
RE;53211;RE53211;Passenger Car Rental and Leasing
RE;53212;RE53212;Truck- Utility Trailer- and RV (Recreational Vehicle) Rental and Leasing
RE;53221;RE53221;Consumer Electronics and Appliances Rental
RE;53228;RE53228;Other Consumer Goods Rental
RE;53231;RE53231;General Rental Centers
RE;53241;RE53241;Construction- Transportation- Mining- and Forestry Machinery and EquipmenRental and Leasing
RE;53242;RE53242;Office Machinery and EquipmenRental and Leasing
RE;53249;RE53249;Other Commercial and Industrial Machinery and EquipmenRental and Leasing
RE;53311;RE53311;Lessors of Nonfinancial Intangible Assets (excepCopyrighted Works)
RE;531110;RE531110;Lessors of Residential Buildings and Dwellings 
RE;531120;RE531120;Lessors of Nonresidential Buildings (except Miniwarehouses) 
RE;531130;RE531130;Lessors of Miniwarehouses and Self-Storage Units 
RE;531190;RE531190;Lessors of Other Real Estate Property 
RE;531210;RE531210;Offices of Real Estate Agents and Brokers
RE;531311;RE531311;Residential Property Managers 
RE;531312;RE531312;Nonresidential Property Managers 
RE;531320;RE531320;Offices of Real Estate Appraisers 
RE;531390;RE531390;Other Activities Related to Real Estate 
RE;532111;RE532111;Passenger Car Rental 
RE;532112;RE532112;Passenger Car Leasing 
RE;532120;RE532120;Truck- Utility Trailer- and RV (Recreational Vehicle) Rental and Leasing 
RE;532210;RE532210;Consumer Electronics and Appliances Rental
RE;532281;RE532281;Formal Wear and Costume Rental
RE;532282;RE532282;Video Tape and Disc Rental
RE;532283;RE532283;Home Health Equipment Rental 
RE;532284;RE532284;Recreational Goods Rental 
RE;532289;RE532289;All Other Consumer Goods Rental 
RE;532310;RE532310;General Rental Centers
RE;532411;RE532411;Commercial Air- Rail- and Water Transportation Equipment Rental and Leasing 
RE;532412;RE532412;Construction- Mining- and Forestry Machinery and Equipment Rental and Leasing 
RE;532420;RE532420;Office Machinery and Equipment Rental and Leasing
RE;532490;RE532490;Other Commercial and Industrial Machinery and Equipment Rental and Leasing 
RE;533110;RE533110;Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)
PST;541;PST541;Professional- Scientific- and Technical Services
PST;5411;PST5411;Legal Services
PST;5412;PST5412;Accounting- Tax Preparation- Bookkeeping- and Payroll Services
PST;5413;PST5413;Architectural- Engineering- and Related Services
PST;5414;PST5414;Specialized Design Services
PST;5415;PST5415;Computer Systems Design and Related Services
PST;5416;PST5416;Management- Scientific- and Technical Consulting Services
PST;5417;PST5417;Scientific Research and DevelopmenServices
PST;5418;PST5418;Advertising- Public Relations- and Related Services
PST;5419;PST5419;Other Professional- Scientific- and Technical Services
PST;54111;PST54111;Offices of Lawyers
PST;54112;PST54112;Offices of Notaries
PST;54119;PST54119;Other Legal Services
PST;54121;PST54121;Accounting- Tax Preparation- Bookkeeping- and Payroll Services
PST;54131;PST54131;Architectural Services
PST;54132;PST54132;Landscape Architectural Services
PST;54133;PST54133;Engineering Services
PST;54134;PST54134;Drafting Services
PST;54135;PST54135;Building Inspection Services
PST;54136;PST54136;Geophysical Surveying and Mapping Services
PST;54137;PST54137;Surveying and Mapping (excepGeophysical) Services
PST;54138;PST54138;Testing Laboratories
PST;54141;PST54141;Interior Design Services
PST;54142;PST54142;Industrial Design Services
PST;54143;PST54143;Graphic Design Services
PST;54149;PST54149;Other Specialized Design Services
PST;54151;PST54151;Computer Systems Design and Related Services
PST;54161;PST54161;ManagemenConsulting Services
PST;54162;PST54162;Environmental Consulting Services
PST;54169;PST54169;Other Scientific and Technical Consulting Services
PST;54171;PST54171;Research and Developmenin the Physical- Engineering- and Life Sciences
PST;54172;PST54172;Research and Developmenin the Social Sciences and Humanities
PST;54181;PST54181;Advertising Agencies
PST;54182;PST54182;Public Relations Agencies
PST;54183;PST54183;Media Buying Agencies
PST;54184;PST54184;Media Representatives
PST;54185;PST54185;Outdoor Advertising
PST;54186;PST54186;DirecMail Advertising
PST;54187;PST54187;Advertising Material Distribution Services
PST;54189;PST54189;Other Services Related to Advertising
PST;54191;PST54191;Marketing Research and Public Opinion Polling
PST;54192;PST54192;Photographic Services
PST;54193;PST54193;Translation and Interpretation Services
PST;54194;PST54194;Veterinary Services
PST;54199;PST54199;All Other Professional- Scientific- and Technical Services
PST;541110;PST541110;Offices of Lawyers
PST;541120;PST541120;Offices of Notaries
PST;541191;PST541191;Title Abstract and Settlement Offices 
PST;541199;PST541199;All Other Legal Services 
PST;541211;PST541211;Offices of Certified Public Accountants 
PST;541213;PST541213;Tax Preparation Services 
PST;541214;PST541214;Payroll Services 
PST;541219;PST541219;Other Accounting Services 
PST;541310;PST541310;Architectural Services
PST;541320;PST541320;Landscape Architectural Services
PST;541330;PST541330;Engineering Services
PST;541340;PST541340;Drafting Services
PST;541350;PST541350;Building Inspection Services
PST;541360;PST541360;Geophysical Surveying and Mapping Services
PST;541370;PST541370;Surveying and Mapping (except Geophysical) Services
PST;541380;PST541380;Testing Laboratories
PST;541410;PST541410;Interior Design Services
PST;541420;PST541420;Industrial Design Services
PST;541430;PST541430;Graphic Design Services
PST;541490;PST541490;Other Specialized Design Services
PST;541511;PST541511;Custom Computer Programming Services 
PST;541512;PST541512;Computer Systems Design Services 
PST;541513;PST541513;Computer Facilities Management Services 
PST;541519;PST541519;Other Computer Related Services
PST;541611;PST541611;Administrative Management and General Management Consulting Services 
PST;541612;PST541612;Human Resources Consulting Services 
PST;541613;PST541613;Marketing Consulting Services 
PST;541614;PST541614;Process- Physical Distribution- and Logistics Consulting Services 
PST;541618;PST541618;Other Management Consulting Services 
PST;541620;PST541620;Environmental Consulting Services
PST;541690;PST541690;Other Scientific and Technical Consulting Services
PST;541713;PST541713;Research and Development in Nanotechnology 
PST;541714;PST541714;Research and Development in Biotechnology (except Nanobiotechnology)
PST;541715;PST541715;Research and Development in the Physical- Engineering- and Life Sciences (except Nanotechnology and Biotechnology) 
PST;541720;PST541720;Research and Development in the Social Sciences and Humanities 
PST;541810;PST541810;Advertising Agencies
PST;541820;PST541820;Public Relations Agencies
PST;541830;PST541830;Media Buying Agencies
PST;541840;PST541840;Media Representatives
PST;541850;PST541850;Outdoor Advertising
PST;541860;PST541860;Direct Mail Advertising
PST;541870;PST541870;Advertising Material Distribution Services
PST;541890;PST541890;Other Services Related to Advertising 
PST;541910;PST541910;Marketing Research and Public Opinion Polling
PST;541921;PST541921;Photography Studios- Portrait 
PST;541922;PST541922;Commercial Photography 
PST;541930;PST541930;Translation and Interpretation Services
PST;541940;PST541940;Veterinary Services 
PST;541990;PST541990;All Other Professional- Scientific- and Technical Services
MNG;551;MNG551;Managemenof Companies and Enterprises
MNG;5511;MNG5511;Managemenof Companies and Enterprises
MNG;55111;MNG55111;Managemenof Companies and Enterprises
MNG;551111;MNG551111;Offices of Bank Holding Companies 
MNG;551112;MNG551112;Offices of Other Holding Companies 
MNG;551114;MNG551114;Corporate- Subsidiary- and Regional Managing Offices 
ADM;561;ADM561;Administrative and SupporServices
ADM;562;ADM562;Waste Managemenand Remediation Services
ADM;5611;ADM5611;Office Administrative Services
ADM;5612;ADM5612;Facilities SupporServices
ADM;5613;ADM5613;EmploymenServices
ADM;5614;ADM5614;Business SupporServices
ADM;5615;ADM5615;Travel Arrangemenand Reservation Services
ADM;5616;ADM5616;Investigation and Security Services
ADM;5617;ADM5617;Services to Buildings and Dwellings
ADM;5619;ADM5619;Other SupporServices
ADM;5621;ADM5621;Waste Collection 
ADM;5622;ADM5622;Waste Treatment and Disposal 
ADM;5629;ADM5629;Remediation and Other Waste Management Services 
ADM;56111;ADM56111;Office Administrative Services
ADM;56121;ADM56121;Facilities SupporServices
ADM;56131;ADM56131;EmploymenPlacemenAgencies and Executive Search Services
ADM;56132;ADM56132;Temporary Help Services
ADM;56133;ADM56133;Professional Employer Organizations
ADM;56141;ADM56141;DocumenPreparation Services
ADM;56142;ADM56142;Telephone Call Centers
ADM;56143;ADM56143;Business Service Centers
ADM;56144;ADM56144;Collection Agencies
ADM;56145;ADM56145;CrediBureaus
ADM;56149;ADM56149;Other Business SupporServices
ADM;56151;ADM56151;Travel Agencies
ADM;56152;ADM56152;Tour Operators
ADM;56159;ADM56159;Other Travel Arrangemenand Reservation Services
ADM;56161;ADM56161;Investigation- Guard- and Armored Car Services
ADM;56162;ADM56162;Security Systems Services
ADM;56171;ADM56171;Exterminating and PesControl Services
ADM;56172;ADM56172;Janitorial Services
ADM;56173;ADM56173;Landscaping Services
ADM;56174;ADM56174;Carpeand Upholstery Cleaning Services
ADM;56179;ADM56179;Other Services to Buildings and Dwellings
ADM;56191;ADM56191;Packaging and Labeling Services
ADM;56192;ADM56192;Convention and Trade Show Organizers
ADM;56199;ADM56199;All Other SupporServices
ADM;56211;ADM56211;Waste Collection 
ADM;56221;ADM56221;Waste Treatment and Disposal 
ADM;56291;ADM56291;Remediation Services 
ADM;56292;ADM56292;Materials Recovery Facilities 
ADM;56299;ADM56299;All Other Waste Management Services 
ADM;561110;ADM561110;Office Administrative Services
ADM;561210;ADM561210;Facilities Support Services
ADM;561311;ADM561311;Employment Placement Agencies 
ADM;561312;ADM561312;Executive Search Services 
ADM;561320;ADM561320;Temporary Help Services
ADM;561330;ADM561330;Professional Employer Organizations
ADM;561410;ADM561410;Document Preparation Services
ADM;561421;ADM561421;Telephone Answering Services 
ADM;561422;ADM561422;Telemarketing Bureaus and Other Contact Centers 
ADM;561431;ADM561431;Private Mail Centers 
ADM;561439;ADM561439;Other Business Service Centers (including Copy Shops) 
ADM;561440;ADM561440;Collection Agencies
ADM;561450;ADM561450;Credit Bureaus
ADM;561491;ADM561491;Repossession Services 
ADM;561492;ADM561492;Court Reporting and Stenotype Services 
ADM;561499;ADM561499;All Other Business Support Services 
ADM;561510;ADM561510;Travel Agencies
ADM;561520;ADM561520;Tour Operators
ADM;561591;ADM561591;Convention and Visitors Bureaus 
ADM;561599;ADM561599;All Other Travel Arrangement and Reservation Services 
ADM;561611;ADM561611;Investigation Services 
ADM;561612;ADM561612;Security Guards and Patrol Services 
ADM;561613;ADM561613;Armored Car Services 
ADM;561621;ADM561621;Security Systems Services (except Locksmiths) 
ADM;561622;ADM561622;Locksmiths 
ADM;561710;ADM561710;Exterminating and Pest Control Services
ADM;561720;ADM561720;Janitorial Services 
ADM;561730;ADM561730;Landscaping Services
ADM;561740;ADM561740;Carpet and Upholstery Cleaning Services
ADM;561790;ADM561790;Other Services to Buildings and Dwellings 
ADM;561910;ADM561910;Packaging and Labeling Services
ADM;561920;ADM561920;Convention and Trade Show Organizers
ADM;561990;ADM561990;All Other Support Services
ADM;562111;ADM562111;Solid Waste Collection 
ADM;562112;ADM562112;Hazardous Waste Collection 
ADM;562119;ADM562119;Other Waste Collection 
ADM;562211;ADM562211;Hazardous Waste Treatment and Disposal 
ADM;562212;ADM562212;Solid Waste Landfill 
ADM;562213;ADM562213;Solid Waste Combustors and Incinerators 
ADM;562219;ADM562219;Other Nonhazardous Waste Treatment and Disposal 
ADM;562910;ADM562910;Remediation Services 
ADM;562920;ADM562920;Materials Recovery Facilities 
ADM;562991;ADM562991;Septic Tank and Related Services 
ADM;562998;ADM562998;All Other Miscellaneous Waste Management Services 
EDU;611;EDU611;Educational Services
EDU;6111;EDU6111;Elementary and Secondary Schools
EDU;6112;EDU6112;Junior Colleges
EDU;6113;EDU6113;Colleges- Universities- and Professional Schools
EDU;6114;EDU6114;Business Schools and Computer and ManagemenTraining
EDU;6115;EDU6115;Technical and Trade Schools
EDU;6116;EDU6116;Other Schools and Instruction
EDU;6117;EDU6117;Educational Support Services
EDU;61111;EDU61111;Elementary and Secondary Schools 
EDU;61121;EDU61121;Junior Colleges
EDU;61131;EDU61131;Colleges- Universities- and Professional Schools
EDU;61141;EDU61141;Business and Secretarial Schools
EDU;61142;EDU61142;Computer Training
EDU;61143;EDU61143;Professional and ManagemenDevelopmenTraining
EDU;61151;EDU61151;Technical and Trade Schools
EDU;61161;EDU61161;Fine Arts Schools
EDU;61162;EDU61162;Sports and Recreation Instruction
EDU;61163;EDU61163;Language Schools
EDU;61169;EDU61169;All Other Schools and Instruction
EDU;61171;EDU61171;Educational Support Services
EDU;611110;EDU611110;Elementary and Secondary Schools 
EDU;611210;EDU611210;Junior Colleges 
EDU;611310;EDU611310;Colleges- Universities- and Professional Schools 
EDU;611410;EDU611410;Business and Secretarial Schools 
EDU;611420;EDU611420;Computer Training 
EDU;611430;EDU611430;Professional and Management Development Training 
EDU;611511;EDU611511;Cosmetology and Barber Schools 
EDU;611512;EDU611512;Flight Training 
EDU;611513;EDU611513;Apprenticeship Training 
EDU;611519;EDU611519;Other Technical and Trade Schools 
EDU;611610;EDU611610;Fine Arts Schools 
EDU;611620;EDU611620;Sports and Recreation Instruction 
EDU;611630;EDU611630;Language Schools 
EDU;611691;EDU611691;Exam Preparation and Tutoring 
EDU;611692;EDU611692;Automobile Driving Schools 
EDU;611699;EDU611699;All Other Miscellaneous Schools and Instruction 
EDU;611710;EDU611710;Educational Support Services
H;621;H621;Ambulatory Health Care Services
H;622;H622;Hospitals
H;623;H623;Nursing and Residential Care Facilities
H;624;H624;Social Assistance
H;6211;H6211;Offices of Physicians
H;6212;H6212;Offices of Dentists
H;6213;H6213;Offices of Other Health Practitioners
H;6214;H6214;OutpatienCare Centers
H;6215;H6215;Medical and Diagnostic Laboratories
H;6216;H6216;Home Health Care Services
H;6219;H6219;Other Ambulatory Health Care Services
H;6221;H6221;General Medical and Surgical Hospitals
H;6222;H6222;Psychiatric and Substance Abuse Hospitals
H;6223;H6223;Specialty (excepPsychiatric and Substance Abuse) Hospitals
H;6231;H6231;Nursing Care Facilities (Skilled Nursing Facilities)
H;6232;H6232;Residential Intellectual and Developmental Disability- Mental Health- and Substance Abuse Facilities
H;6233;H6233;Continuing Care RetiremenCommunities and Assisted Living Facilities for the Elderly
H;6239;H6239;Other Residential Care Facilities
H;6241;H6241;Individual and Family Services
H;6242;H6242;Community Food and Housing- and Emergency and Other Relief Services
H;6243;H6243;Vocational Rehabilitation Services
H;6244;H6244;Child Day Care Services
H;62111;H62111;Offices of Physicians
H;62121;H62121;Offices of Dentists
H;62131;H62131;Offices of Chiropractors
H;62132;H62132;Offices of Optometrists
H;62133;H62133;Offices of Mental Health Practitioners (excepPhysicians)
H;62134;H62134;Offices of Physical- Occupational and Speech Therapists- and Audiologists
H;62139;H62139;Offices of All Other Health Practitioners
H;62141;H62141;Family Planning Centers
H;62142;H62142;OutpatienMental Health and Substance Abuse Centers
H;62149;H62149;Other OutpatienCare Centers
H;62151;H62151;Medical and Diagnostic Laboratories
H;62161;H62161;Home Health Care Services
H;62191;H62191;Ambulance Services
H;62199;H62199;All Other Ambulatory Health Care Services
H;62211;H62211;General Medical and Surgical Hospitals
H;62221;H62221;Psychiatric and Substance Abuse Hospitals
H;62231;H62231;Specialty (excepPsychiatric and Substance Abuse) Hospitals
H;62311;H62311;Nursing Care Facilities (Skilled Nursing Facilities)
H;62321;H62321;Residential Intellectual and Developmental Disability Facilities
H;62322;H62322;Residential Mental Health and Substance Abuse Facilities
H;62331;H62331;Continuing Care RetiremenCommunities and Assisted Living Facilities for the Elderly
H;62399;H62399;Other Residential Care Facilities
H;62411;H62411;Child and Youth Services
H;62412;H62412;Services for the Elderly and Persons with Disabilities
H;62419;H62419;Other Individual and Family Services
H;62421;H62421;Community Food Services
H;62422;H62422;Community Housing Services
H;62423;H62423;Emergency and Other Relief Services
H;62431;H62431;Vocational Rehabilitation Services
H;62441;H62441;Child Day Care Services
H;621111;H621111;Offices of Physicians (except Mental Health Specialists) 
H;621112;H621112;Offices of Physicians- Mental Health Specialists 
H;621210;H621210;Offices of Dentists 
H;621310;H621310;Offices of Chiropractors 
H;621320;H621320;Offices of Optometrists
H;621330;H621330;Offices of Mental Health Practitioners (except Physicians) 
H;621340;H621340;Offices of Physical- Occupational and Speech Therapists- and Audiologists 
H;621391;H621391;Offices of Podiatrists 
H;621399;H621399;Offices of All Other Miscellaneous Health Practitioners 
H;621410;H621410;Family Planning Centers 
H;621420;H621420;Outpatient Mental Health and Substance Abuse Centers 
H;621491;H621491;HMO Medical Centers 
H;621492;H621492;Kidney Dialysis Centers 
H;621493;H621493;Freestanding Ambulatory Surgical and Emergency Centers 
H;621498;H621498;All Other Outpatient Care Centers 
H;621511;H621511;Medical Laboratories 
H;621512;H621512;Diagnostic Imaging Centers 
H;621610;H621610;Home Health Care Services
H;621910;H621910;Ambulance Services 
H;621991;H621991;Blood and Organ Banks 
H;621999;H621999;All Other Miscellaneous Ambulatory Health Care Services 
H;622110;H622110;General Medical and Surgical Hospitals 
H;622210;H622210;Psychiatric and Substance Abuse Hospitals 
H;622310;H622310;Specialty (except Psychiatric and Substance Abuse) Hospitals 
H;623110;H623110;Nursing Care Facilities (Skilled Nursing Facilities) 
H;623210;H623210;Residential Intellectual and Developmental Disability Facilities 
H;623220;H623220;Residential Mental Health and Substance Abuse Facilities 
H;623311;H623311;Continuing Care Retirement Communities 
H;623312;H623312;Assisted Living Facilities for the Elderly 
H;623990;H623990;Other Residential Care Facilities 
H;624110;H624110;Child and Youth Services 
H;624120;H624120;Services for the Elderly and Persons with Disabilities 
H;624190;H624190;Other Individual and Family Services 
H;624210;H624210;Community Food Services 
H;624221;H624221;Temporary Shelters 
H;624229;H624229;Other Community Housing Services 
H;624230;H624230;Emergency and Other Relief Services 
H;624310;H624310;Vocational Rehabilitation Services 
H;624410;H624410;Child Day Care Services 
ART;711;ART711;Performing Arts- Spectator Sports- and Related Industries
ART;712;ART712;Museums- Historical Sites- and Similar Institutions
ART;713;ART713;Amusement- Gambling- and Recreation Industries
ART;7111;ART7111;Performing Arts Companies
ART;7112;ART7112;Spectator Sports
ART;7113;ART7113;Promoters of Performing Arts- Sports- and Similar Events
ART;7114;ART7114;Agents and Managers for Artists- Athletes- Entertainers- and Other Public Figures
ART;7115;ART7115;IndependenArtists- Writers- and Performers
ART;7121;ART7121;Museums- Historical Sites- and Similar Institutions
ART;7131;ART7131;AmusemenParks and Arcades
ART;7132;ART7132;Gambling Industries
ART;7139;ART7139;Other Amusemenand Recreation Industries
ART;71111;ART71111;Theater Companies and Dinner Theaters
ART;71112;ART71112;Dance Companies
ART;71113;ART71113;Musical Groups and Artists
ART;71119;ART71119;Other Performing Arts Companies
ART;71121;ART71121;Spectator Sports
ART;71131;ART71131;Promoters of Performing Arts- Sports- and Similar Events with Facilities
ART;71132;ART71132;Promoters of Performing Arts- Sports- and Similar Events withouFacilities
ART;71141;ART71141;Agents and Managers for Artists- Athletes- Entertainers- and Other Public Figures
ART;71151;ART71151;IndependenArtists- Writers- and Performers
ART;71211;ART71211;Museums
ART;71212;ART71212;Historical Sites
ART;71213;ART71213;Zoos and Botanical Gardens
ART;71219;ART71219;Nature Parks and Other Similar Institutions
ART;71311;ART71311;Amusemenand Theme Parks
ART;71312;ART71312;AmusemenArcades
ART;71321;ART71321;Casinos (excepCasino Hotels)
ART;71329;ART71329;Other Gambling Industries
ART;71391;ART71391;Golf Courses and Country Clubs
ART;71392;ART71392;Skiing Facilities
ART;71393;ART71393;Marinas
ART;71394;ART71394;Fitness and Recreational Sports Centers
ART;71395;ART71395;Bowling Centers
ART;71399;ART71399;All Other Amusemenand Recreation Industries
ART;711110;ART711110;Theater Companies and Dinner Theaters 
ART;711120;ART711120;Dance Companies 
ART;711130;ART711130;Musical Groups and Artists 
ART;711190;ART711190;Other Performing Arts Companies 
ART;711211;ART711211;Sports Teams and Clubs 
ART;711212;ART711212;Racetracks 
ART;711219;ART711219;Other Spectator Sports 
ART;711310;ART711310;Promoters of Performing Arts- Sports- and Similar Events with Facilities 
ART;711320;ART711320;Promoters of Performing Arts- Sports- and Similar Events without Facilities 
ART;711410;ART711410;Agents and Managers for Artists- Athletes- Entertainers- and Other Public Figures
ART;711510;ART711510;Independent Artists- Writers- and Performers 
ART;712110;ART712110;Museums 
ART;712120;ART712120;Historical Sites
